444,0,200,130,130,3,7085,4395,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.83
444,0,200,130,130,3,7080,4425,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7079,4435,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7084,4423,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7080,4430,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7082,4447,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7083,4418,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.84
444,0,200,130,130,3,7086,4440,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7086,4414,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7084,4431,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7082,4429,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7084,4382,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7081,4379,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.85
444,0,200,130,130,3,7082,4441,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7081,4407,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7083,4408,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7080,4424,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7080,4425,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7083,4407,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.86
444,0,200,130,130,3,7087,4438,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7083,4442,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7083,4417,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7086,4431,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7086,4442,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7082,4411,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.87
444,0,200,130,130,3,7080,4438,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.88
444,0,200,130,130,3,7083,4428,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.88
444,0,200,130,130,3,7084,4423,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.88
444,0,200,130,130,3,7078,4399,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.88
444,0,200,130,130,3,7080,4431,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.88
444,0,200,130,130,3,7080,4382,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7081,4380,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7080,4437,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7080,4390,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7086,4427,0,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7082,4424,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.89
444,0,200,130,130,3,7084,4417,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7084,4436,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7082,4427,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7081,4432,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7081,4413,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7081,4403,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.9
444,0,200,130,130,3,7083,4442,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.91
444,0,200,130,130,3,7077,4401,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.91
444,0,200,130,130,3,7081,4425,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.91
444,0,200,130,130,3,7084,4421,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503566932.91
